name,date,high,low,close,volume
LiteCoin,2019-11-01,58.61181539,57.46288138,58.31816197,2933559165.0
LiteCoin,2019-11-02,59.0813172,57.95677226,58.31507211,3167020840.0
LiteCoin,2019-11-03,58.72161307,57.41029402,58.44562945,2980609832.0
LiteCoin,2019-11-04,61.98727287,58.06185045,61.40403207,3194128413.0
LiteCoin,2019-11-05,63.8045618,61.18972943,63.08607104,4183313521.0
LiteCoin,2019-11-06,63.98065185,62.69036454,63.98065185,3723474644.0
LiteCoin,2019-11-07,64.16680517,61.11038035,61.48351786,3291582664.0
LiteCoin,2019-11-08,62.40363854,59.27858586,60.46314986,3084292260.0
LiteCoin,2019-11-09,62.19473015,60.29381604,62.08086134,2835254596.0
LiteCoin,2019-11-10,64.50594438,61.53748453,63.64774011,2901348101.0
LiteCoin,2019-11-11,64.23145389,61.06322839,61.6917851,3076795879.0
LiteCoin,2019-11-12,62.16455646,60.27918033,61.17662516,2747841583.0
LiteCoin,2019-11-13,61.7469775,60.60971155,61.02504487,2929077401.0
LiteCoin,2019-11-14,61.01046655,58.85820126,59.11992803,2769949448.0
LiteCoin,2019-11-15,60.4347279,57.22785183,57.67138629,2766821951.0
LiteCoin,2019-11-16,58.79722723,57.37025299,58.31293513,2652603077.0
LiteCoin,2019-11-17,59.80310346,57.87366875,59.16029911,2627590046.0
LiteCoin,2019-11-18,59.20427441,55.14083313,56.05041427,2603443273.0
